well,x,y,z
Inj-1,311642.0,7483420.0,-1943.87
Inj-2,312954.0,7480140.0,-1947.79
Inj-3,312357.0,7480820.0,-1905.74
Inj-4,313922.0,7483660.0,-1861.13
Inj-5,316095.0,7482350.0,-1950.09
Inj-6,311952.0,7483240.0,-1848.84
Inj-7,315461.0,7479250.0,-1891.82
Inj-8,316174.0,7479510.0,-1967.36
Inj-9,315325.0,7483930.0,-1927.4
Wildcat,313523.0,7481458.0,-1843.48128803
Prod-1,313445.0,7482660.0,-1952.14869648
Prod-2,315546.0,7480960.0,-1879.90935773
Prod-3,314402.0,7480510.0,-1817.25027086
Prod-4,312898.0,7482700.0,-1911.01386918
Prod-5,313668.0,7481870.0,-1872.79522358
Prod-6,312956.0,7483620.0,-1907.31905796
Prod-7,314453.0,7484420.0,-1977.81080716
Prod-8,313966.0,7481020.0,-1820.92796359
Prod-9,313210.0,7484300.0,-1896.10438902
Prod-10,314650.0,7482400.0,-1943.07446462
