Dataset,Well,MAE,SMAPE
VOLVE,15_9-F-11,17024.784,2.6399
VOLVE,15_9-F-12,22565.692,0.9014
VOLVE,15_9-F-14,17240.0549,0.8426
VOLVE,15_9-F-15 D,2332.323,2.327
UNISIM,Prod-1,9517.5501,0.4736
UNISIM,Prod-10,13761.2666,0.4072
UNISIM,Prod-2,7276.5248,0.3456
UNISIM,Prod-3,9389.9693,0.5057
UNISIM,Prod-4,10637.185,0.3098
UNISIM,Prod-5,9865.074,0.3009
UNISIM,Prod-6,8986.4512,0.3459
UNISIM,Prod-7,8616.9678,0.3568
UNISIM,Prod-8,10486.2829,0.3997
UNISIM,Prod-9,9688.95,0.3585
OPSD,load,176956.1199,0.3352
OPSD,solar,24052.5276,2.4063
OPSD,wind,52835.0251,0.9667
